symbol,year,fiscal_date,shares_outstanding
ABCB,2016,2016-12-31,68910896
ABCB,2017,2017-12-31,68910896
ABCB,2018,2018-12-31,68910896
ABCB,2019,2019-12-31,68910896
ABCB,2020,2020-12-31,68910896
ABCB,2021,2021-12-31,69609228
ABCB,2022,2022-12-31,69369050
ABCB,2023,2023-12-31,69053341
ACNB,2016,2016-12-31,10473700
ACNB,2017,2017-12-31,10473700
ACNB,2018,2018-12-31,10473700
ACNB,2019,2019-12-31,10473700
ACNB,2020,2020-12-31,10473700
ACNB,2021,2021-12-31,8679206
ACNB,2022,2022-12-31,8515120
ACNB,2023,2023-12-31,8511453
AROW,2016,2016-12-31,16478800
AROW,2017,2017-12-31,16478800
AROW,2018,2018-12-31,16478800
AROW,2019,2019-12-31,16478800
AROW,2020,2020-12-31,16478800
AROW,2021,2021-12-31,17017610
AROW,2022,2022-12-31,17048186
AROW,2023,2023-12-31,16942486
ASB,2016,2016-12-31,165810000
ASB,2017,2017-12-31,165810000
ASB,2018,2018-12-31,165810000
ASB,2019,2019-12-31,165810000
ASB,2020,2020-12-31,165810000
ASB,2021,2021-12-31,149342641
ASB,2022,2022-12-31,150444019
ASB,2023,2023-12-31,151036674
ATLO,2016,2016-12-31,8915560
ATLO,2017,2017-12-31,8915560
ATLO,2018,2018-12-31,8915560
ATLO,2019,2019-12-31,8915560
ATLO,2020,2020-12-31,8915560
ATLO,2021,2021-12-31,9092167
ATLO,2022,2022-12-31,8992167
ATLO,2023,2023-12-31,8992167
AUBN,2016,2016-12-31,3493700
AUBN,2017,2017-12-31,3493700
AUBN,2018,2018-12-31,3493700
AUBN,2019,2019-12-31,3493700
AUBN,2020,2020-12-31,3493700
AUBN,2021,2021-12-31,3520485
AUBN,2022,2022-12-31,3503452
AUBN,2023,2023-12-31,3493614
BAC,2016,2016-12-31,7531879936
BAC,2017,2017-12-31,7531879936
BAC,2018,2018-12-31,7531879936
BAC,2019,2019-12-31,7531879936
BAC,2020,2020-12-31,7531879936
BAC,2021,2021-12-31,8077831463
BAC,2022,2022-12-31,7996777943
BAC,2023,2023-12-31,7895457665
BANC,2016,2016-12-31,147140000
BANC,2017,2017-12-31,147140000
BANC,2018,2018-12-31,147140000
BANC,2019,2019-12-31,147140000
BANC,2020,2020-12-31,147140000
BANC,2021,2021-12-31,62665527
BANC,2022,2022-12-31,59021855
BANC,2023,2023-12-31,168097660
BANF,2016,2016-12-31,33242800
BANF,2017,2017-12-31,33242800
BANF,2018,2018-12-31,33242800
BANF,2019,2019-12-31,33242800
BANF,2020,2020-12-31,33242800
BANF,2021,2021-12-31,32603118
BANF,2022,2022-12-31,32875560
BANF,2023,2023-12-31,32933018
BANR,2016,2016-12-31,34580000
BANR,2017,2017-12-31,34580000
BANR,2018,2018-12-31,34580000
BANR,2019,2019-12-31,34580000
BANR,2020,2020-12-31,34580000
BANR,2021,2021-12-31,34252632
BANR,2022,2022-12-31,34194018
BANR,2023,2023-12-31,34348369
BCBP,2016,2016-12-31,17162600
BCBP,2017,2017-12-31,17162600
BCBP,2018,2018-12-31,17162600
BCBP,2019,2019-12-31,17162600
BCBP,2020,2020-12-31,17162600
BCBP,2021,2021-12-31,16940133
BCBP,2022,2022-12-31,16930979
BCBP,2023,2023-12-31,16904323
BFIN,2016,2016-12-31,12460700
BFIN,2017,2017-12-31,12460700
BFIN,2018,2018-12-31,12460700
BFIN,2019,2019-12-31,12460700
BFIN,2020,2020-12-31,12460700
BFIN,2021,2021-12-31,13228485
BFIN,2022,2022-12-31,12742597
BFIN,2023,2023-12-31,12475881
BHB,2016,2016-12-31,15321800
BHB,2017,2017-12-31,15321800
BHB,2018,2018-12-31,15321800
BHB,2019,2019-12-31,15321800
BHB,2020,2020-12-31,15321800
BHB,2021,2021-12-31,15001329
BHB,2022,2022-12-31,15082688
BHB,2023,2023-12-31,15172131
BHLB,2016,2016-12-31,46312000
BHLB,2017,2017-12-31,46312000
BHLB,2018,2018-12-31,46312000
BHLB,2019,2019-12-31,46312000
BHLB,2020,2020-12-31,46312000
BHLB,2021,2021-12-31,48667110
BHLB,2022,2022-12-31,44361222
BHLB,2023,2023-12-31,43500872
BKU,2016,2016-12-31,75211904
BKU,2017,2017-12-31,75211904
BKU,2018,2018-12-31,75211904
BKU,2019,2019-12-31,75211904
BKU,2020,2020-12-31,75211904
BKU,2021,2021-12-31,85647986
BKU,2022,2022-12-31,75674587
BKU,2023,2023-12-31,74372505
BMRC,2016,2016-12-31,16216100
BMRC,2017,2017-12-31,16216100
BMRC,2018,2018-12-31,16216100
BMRC,2019,2019-12-31,16216100
BMRC,2020,2020-12-31,16216100
BMRC,2021,2021-12-31,15929243
BMRC,2022,2022-12-31,16029138
BMRC,2023,2023-12-31,16158413
BOH,2016,2016-12-31,39734800
BOH,2017,2017-12-31,39734800
BOH,2018,2018-12-31,39734800
BOH,2019,2019-12-31,39734800
BOH,2020,2020-12-31,39734800
BOH,2021,2021-12-31,40253193
BOH,2022,2022-12-31,39835750
BOH,2023,2023-12-31,39753138
BOKF,2016,2016-12-31,64261800
BOKF,2017,2017-12-31,64261800
BOKF,2018,2018-12-31,64261800
BOKF,2019,2019-12-31,64261800
BOKF,2020,2020-12-31,64261800
BOKF,2021,2021-12-31,68467772
BOKF,2022,2022-12-31,66958634
BOKF,2023,2023-12-31,64967177
BRKL,2016,2016-12-31,89104600
BRKL,2017,2017-12-31,89104600
BRKL,2018,2018-12-31,89104600
BRKL,2019,2019-12-31,89104600
BRKL,2020,2020-12-31,89104600
BRKL,2021,2021-12-31,78139708
BRKL,2022,2022-12-31,76844232
BRKL,2023,2023-12-31,88894577
BSRR,2016,2016-12-31,13818800
BSRR,2017,2017-12-31,13818800
BSRR,2018,2018-12-31,13818800
BSRR,2019,2019-12-31,13818800
BSRR,2020,2020-12-31,13818800
BSRR,2021,2021-12-31,15270010
BSRR,2022,2022-12-31,15170372
BSRR,2023,2023-12-31,14793832
BUSE,2016,2016-12-31,89490496
BUSE,2017,2017-12-31,89490496
BUSE,2018,2018-12-31,89490496
BUSE,2019,2019-12-31,89490496
BUSE,2020,2020-12-31,89490496
BUSE,2021,2021-12-31,55434910
BUSE,2022,2022-12-31,55279124
BUSE,2023,2023-12-31,55244119
BWFG,2016,2016-12-31,7873390
BWFG,2017,2017-12-31,7873390
BWFG,2018,2018-12-31,7873390
BWFG,2019,2019-12-31,7873390
BWFG,2020,2020-12-31,7873390
BWFG,2021,2021-12-31,7803166
BWFG,2022,2022-12-31,7730699
BWFG,2023,2023-12-31,7882616
CAC,2016,2016-12-31,16902200
CAC,2017,2017-12-31,16902200
CAC,2018,2018-12-31,16902200
CAC,2019,2019-12-31,16902200
CAC,2020,2020-12-31,16902200
CAC,2021,2021-12-31,14739956
CAC,2022,2022-12-31,14567325
CAC,2023,2023-12-31,14565952
CADE,2016,2016-12-31,183524992
CADE,2017,2017-12-31,183524992
CADE,2018,2018-12-31,183524992
CADE,2019,2019-12-31,183524992
CADE,2020,2020-12-31,183524992
CADE,2021,2021-12-31,188337658
CADE,2022,2022-12-31,182437265
CADE,2023,2023-12-31,182871775
CATY,2016,2016-12-31,70133296
CATY,2017,2017-12-31,70133296
CATY,2018,2018-12-31,70133296
CATY,2019,2019-12-31,70133296
CATY,2020,2020-12-31,70133296
CATY,2021,2021-12-31,75750862
CATY,2022,2022-12-31,72742151
CATY,2023,2023-12-31,72668927
CBAN,2016,2016-12-31,17443400
CBAN,2017,2017-12-31,17443400
CBAN,2018,2018-12-31,17443400
CBAN,2019,2019-12-31,17443400
CBAN,2020,2020-12-31,17443400
CBAN,2021,2021-12-31,13673898
CBAN,2022,2022-12-31,17598123
CBAN,2023,2023-12-31,17564182
CBFV,2016,2016-12-31,4947180
CBFV,2017,2017-12-31,4947180
CBFV,2018,2018-12-31,4947180
CBFV,2019,2019-12-31,4947180
CBFV,2020,2020-12-31,4947180
CBFV,2021,2021-12-31,5260672
CBFV,2022,2022-12-31,5100189
CBFV,2023,2023-12-31,5119543
CBSH,2016,2016-12-31,133420000
CBSH,2017,2017-12-31,133420000
CBSH,2018,2018-12-31,133420000
CBSH,2019,2019-12-31,133420000
CBSH,2020,2020-12-31,133420000
CBSH,2021,2021-12-31,140864802
CBSH,2022,2022-12-31,138097757
CBSH,2023,2023-12-31,136975515
CBU,2016,2016-12-31,52851500
CBU,2017,2017-12-31,52851500
CBU,2018,2018-12-31,52851500
CBU,2019,2019-12-31,52851500
CBU,2020,2020-12-31,52851500
CBU,2021,2021-12-31,53878047
CBU,2022,2022-12-31,53737249
CBU,2023,2023-12-31,53327060
CCBG,2016,2016-12-31,17054900
CCBG,2017,2017-12-31,17054900
CCBG,2018,2018-12-31,17054900
CCBG,2019,2019-12-31,17054900
CCBG,2020,2020-12-31,17054900
CCBG,2021,2021-12-31,16892060
CCBG,2022,2022-12-31,16986785
CCBG,2023,2023-12-31,16950222
CCNE,2016,2016-12-31,20979300
CCNE,2017,2017-12-31,20979300
CCNE,2018,2018-12-31,20979300
CCNE,2019,2019-12-31,20979300
CCNE,2020,2020-12-31,20979300
CCNE,2021,2021-12-31,16855062
CCNE,2022,2022-12-31,21007189
CCNE,2023,2023-12-31,20896439
CFFI,2016,2016-12-31,3239140
CFFI,2017,2017-12-31,3239140
CFFI,2018,2018-12-31,3239140
CFFI,2019,2019-12-31,3239140
CFFI,2020,2020-12-31,3239140
CFFI,2021,2021-12-31,3545554
CFFI,2022,2022-12-31,3476614
CFFI,2023,2023-12-31,3374098
CFG,2016,2016-12-31,433648992
CFG,2017,2017-12-31,433648992
CFG,2018,2018-12-31,433648992
CFG,2019,2019-12-31,433648992
CFG,2020,2020-12-31,433648992
CFG,2021,2021-12-31,422137197
CFG,2022,2022-12-31,492282158
CFG,2023,2023-12-31,466418055
CFR,2016,2016-12-31,64287900
CFR,2017,2017-12-31,64287900
CFR,2018,2018-12-31,64287900
CFR,2019,2019-12-31,64287900
CFR,2020,2020-12-31,64287900
CFR,2021,2021-12-31,63986236
CFR,2022,2022-12-31,64354695
CFR,2023,2023-12-31,64185287
CHCO,2016,2016-12-31,14482500
CHCO,2017,2017-12-31,14482500
CHCO,2018,2018-12-31,14482500
CHCO,2019,2019-12-31,14482500
CHCO,2020,2020-12-31,14482500
CHCO,2021,2021-12-31,15061858
CHCO,2022,2022-12-31,14788149
CHCO,2023,2023-12-31,14831817
CHMG,2016,2016-12-31,4790850
CHMG,2017,2017-12-31,4790850
CHMG,2018,2018-12-31,4790850
CHMG,2019,2019-12-31,4790850
CHMG,2020,2020-12-31,4790850
CHMG,2021,2021-12-31,4673356
CHMG,2022,2022-12-31,4694628
CHMG,2023,2023-12-31,4737413
CIVB,2016,2016-12-31,15519100
CIVB,2017,2017-12-31,15519100
CIVB,2018,2018-12-31,15519100
CIVB,2019,2019-12-31,15519100
CIVB,2020,2020-12-31,15519100
CIVB,2021,2021-12-31,14954200
CIVB,2022,2022-12-31,15728234
CIVB,2023,2023-12-31,15695424
CMA,2016,2016-12-31,131413000
CMA,2017,2017-12-31,131413000
CMA,2018,2018-12-31,131413000
CMA,2019,2019-12-31,131413000
CMA,2020,2020-12-31,131413000
CMA,2021,2021-12-31,130687952
CMA,2022,2022-12-31,130966862
CMA,2023,2023-12-31,131898256
CNOB,2016,2016-12-31,50206600
CNOB,2017,2017-12-31,50206600
CNOB,2018,2018-12-31,50206600
CNOB,2019,2019-12-31,50206600
CNOB,2020,2020-12-31,50206600
CNOB,2021,2021-12-31,39568090
CNOB,2022,2022-12-31,39243123
CNOB,2023,2023-12-31,38519770
COLB,2016,2016-12-31,210207008
COLB,2017,2017-12-31,210207008
COLB,2018,2018-12-31,210207008
COLB,2019,2019-12-31,210207008
COLB,2020,2020-12-31,210207008
COLB,2021,2021-12-31,216625506
COLB,2022,2022-12-31,217054317
COLB,2023,2023-12-31,208584667
CPF,2016,2016-12-31,26975900
CPF,2017,2017-12-31,26975900
CPF,2018,2018-12-31,26975900
CPF,2019,2019-12-31,26975900
CPF,2020,2020-12-31,26975900
CPF,2021,2021-12-31,27714071
CPF,2022,2022-12-31,27025070
CPF,2023,2023-12-31,27045033
CTBI,2016,2016-12-31,18110900
CTBI,2017,2017-12-31,18110900
CTBI,2018,2018-12-31,18110900
CTBI,2019,2019-12-31,18110900
CTBI,2020,2020-12-31,18110900
CTBI,2021,2021-12-31,17843081
CTBI,2022,2022-12-31,17918280
CTBI,2023,2023-12-31,17999840
CUBI,2016,2016-12-31,31587800
CUBI,2017,2017-12-31,31587800
CUBI,2018,2018-12-31,31587800
CUBI,2019,2019-12-31,31587800
CUBI,2020,2020-12-31,31587800
CUBI,2021,2021-12-31,32913267
CUBI,2022,2022-12-31,32373697
CUBI,2023,2023-12-31,31440906
CVBF,2016,2016-12-31,137804992
CVBF,2017,2017-12-31,137804992
CVBF,2018,2018-12-31,137804992
CVBF,2019,2019-12-31,137804992
CVBF,2020,2020-12-31,137804992
CVBF,2021,2021-12-31,135526025
CVBF,2022,2022-12-31,139818703
CVBF,2023,2023-12-31,139344981
CZNC,2016,2016-12-31,15494600
CZNC,2017,2017-12-31,15494600
CZNC,2018,2018-12-31,15494600
CZNC,2019,2019-12-31,15494600
CZNC,2020,2020-12-31,15494600
CZNC,2021,2021-12-31,15759090
CZNC,2022,2022-12-31,15518819
CZNC,2023,2023-12-31,15295135
DCOM,2016,2016-12-31,43818600
DCOM,2017,2017-12-31,43818600
DCOM,2018,2018-12-31,43818600
DCOM,2019,2019-12-31,43818600
DCOM,2020,2020-12-31,43818600
DCOM,2021,2021-12-31,39877833
DCOM,2022,2022-12-31,38573000
DCOM,2023,2023-12-31,38822654
DFS,2016,2016-12-31,251652992
DFS,2017,2017-12-31,251652992
DFS,2018,2018-12-31,251652992
DFS,2019,2019-12-31,251652992
DFS,2020,2020-12-31,251652992
DFS,2021,2021-12-31,288328320
DFS,2022,2022-12-31,267383791
DFS,2023,2023-12-31,250102860
EBMT,2016,2016-12-31,7952180
EBMT,2017,2017-12-31,7952180
EBMT,2018,2018-12-31,7952180
EBMT,2019,2019-12-31,7952180
EBMT,2020,2020-12-31,7952180
EBMT,2021,2021-12-31,6794811
EBMT,2022,2022-12-31,8006033
EBMT,2023,2023-12-31,8016784
EBTC,2016,2016-12-31,12508400
EBTC,2017,2017-12-31,12508400
EBTC,2018,2018-12-31,12508400
EBTC,2019,2019-12-31,12508400
EBTC,2020,2020-12-31,12508400
EBTC,2021,2021-12-31,12038382
EBTC,2022,2022-12-31,12133516
EBTC,2023,2023-12-31,12272674
EFSC,2016,2016-12-31,36932700
EFSC,2017,2017-12-31,36932700
EFSC,2018,2018-12-31,36932700
EFSC,2019,2019-12-31,36932700
EFSC,2020,2020-12-31,36932700
EFSC,2021,2021-12-31,37819522
EFSC,2022,2022-12-31,37253292
EFSC,2023,2023-12-31,37416028
EGBN,2016,2016-12-31,30377400
EGBN,2017,2017-12-31,30377400
EGBN,2018,2018-12-31,30377400
EGBN,2019,2019-12-31,30377400
EGBN,2020,2020-12-31,30377400
EGBN,2021,2021-12-31,31950092
EGBN,2022,2022-12-31,31346903
EGBN,2023,2023-12-31,29925612
EVBN,2016,2016-12-31,5567380
EVBN,2017,2017-12-31,5567380
EVBN,2018,2018-12-31,5567380
EVBN,2019,2019-12-31,5567380
EVBN,2020,2020-12-31,5567380
EVBN,2021,2021-12-31,5482756
EVBN,2022,2022-12-31,5437048
EVBN,2023,2023-12-31,5499772
EWBC,2016,2016-12-31,137824992
EWBC,2017,2017-12-31,137824992
EWBC,2018,2018-12-31,137824992
EWBC,2019,2019-12-31,137824992
EWBC,2020,2020-12-31,137824992
EWBC,2021,2021-12-31,141907954
EWBC,2022,2022-12-31,140947846
EWBC,2023,2023-12-31,140027367
FBIZ,2016,2016-12-31,8318840
FBIZ,2017,2017-12-31,8318840
FBIZ,2018,2018-12-31,8318840
FBIZ,2019,2019-12-31,8318840
FBIZ,2020,2020-12-31,8318840
FBIZ,2021,2021-12-31,8457564
FBIZ,2022,2022-12-31,8362085
FBIZ,2023,2023-12-31,8314778
FBNC,2016,2016-12-31,41420200
FBNC,2017,2017-12-31,41420200
FBNC,2018,2018-12-31,41420200
FBNC,2019,2019-12-31,41420200
FBNC,2020,2020-12-31,41420200
FBNC,2021,2021-12-31,35629177
FBNC,2022,2022-12-31,35704154
FBNC,2023,2023-12-31,41109987
FCAP,2016,2016-12-31,3355350
FCAP,2017,2017-12-31,3355350
FCAP,2018,2018-12-31,3355350
FCAP,2019,2019-12-31,3355350
FCAP,2020,2020-12-31,3355350
FCAP,2021,2021-12-31,3373095
FCAP,2022,2022-12-31,3371362
FCAP,2023,2023-12-31,3350660
FCBC,2016,2016-12-31,18279100
FCBC,2017,2017-12-31,18279100
FCBC,2018,2018-12-31,18279100
FCBC,2019,2019-12-31,18279100
FCBC,2020,2020-12-31,18279100
FCBC,2021,2021-12-31,16878220
FCBC,2022,2022-12-31,16225399
FCBC,2023,2023-12-31,18502396
FCCO,2016,2016-12-31,7681600
FCCO,2017,2017-12-31,7681600
FCCO,2018,2018-12-31,7681600
FCCO,2019,2019-12-31,7681600
FCCO,2020,2020-12-31,7681600
FCCO,2021,2021-12-31,7548638
FCCO,2022,2022-12-31,7577912
FCCO,2023,2023-12-31,7606172
FCF,2016,2016-12-31,104939000
FCF,2017,2017-12-31,104939000
FCF,2018,2018-12-31,104939000
FCF,2019,2019-12-31,104939000
FCF,2020,2020-12-31,104939000
FCF,2021,2021-12-31,94233152
FCF,2022,2022-12-31,93376314
FCF,2023,2023-12-31,102114664
FCNCA,2016,2016-12-31,12283700
FCNCA,2017,2017-12-31,12283700
FCNCA,2018,2018-12-31,12283700
FCNCA,2019,2019-12-31,12283700
FCNCA,2020,2020-12-31,12283700
FCNCA,2021,2021-12-31,9816405
FCNCA,2022,2022-12-31,14506202
FCNCA,2023,2023-12-31,14520118
FFBC,2016,2016-12-31,95736200
FFBC,2017,2017-12-31,95736200
FFBC,2018,2018-12-31,95736200
FFBC,2019,2019-12-31,95736200
FFBC,2020,2020-12-31,95736200
FFBC,2021,2021-12-31,94149240
FFBC,2022,2022-12-31,94891099
FFBC,2023,2023-12-31,95141244
FFIC,2016,2016-12-31,33777000
FFIC,2017,2017-12-31,33777000
FFIC,2018,2018-12-31,33777000
FFIC,2019,2019-12-31,33777000
FFIC,2020,2020-12-31,33777000
FFIC,2021,2021-12-31,30526353
FFIC,2022,2022-12-31,29476391
FFIC,2023,2023-12-31,28865810
FFIN,2016,2016-12-31,143050000
FFIN,2017,2017-12-31,143050000
FFIN,2018,2018-12-31,143050000
FFIN,2019,2019-12-31,143050000
FFIN,2020,2020-12-31,143050000
FFIN,2021,2021-12-31,141595219
FFIN,2022,2022-12-31,141728661
